"id","Comm_tbl_State_ID","State","DateCreated"
18,"89EC4DC1-4A1F-44CC-9486-018D17EAB9E8",MI,2001-04-24 14:41:23.000
52,"4CA252E9-3660-4553-B2A2-02D526911097",LA,2001-04-24 14:41:23.000
13,"5C2B7F71-A05F-4A45-B873-08700AC6F30E",ID,2001-04-24 14:41:23.000
24,"7C31DB80-A443-4B2C-BC9A-0CA6512CF059",UT,2001-04-24 14:41:23.000
72,"446256C3-8970-42DC-823B-0E0F6DAC1B79",BC,2008-10-29 00:04:29.327
54,"19E1576B-C4AE-4229-8026-120634FAF994",HI,2001-04-24 14:41:23.000
70,"26C9C54E-5595-4673-8A85-125BB5FCEF0D",NZ,2008-10-29 00:04:29.310
85,F991FF86-92E4-48FE-BB4D-186718BC8B13,QC,2008-10-29 00:04:29.327
47,"1D41DD4F-0976-4663-80F2-19D2E4785CB5",TN,2001-04-24 14:41:23.000
38,"4E2A7E2D-1FF8-43C9-8B4C-1D48F88C426D",KY,2001-04-24 14:41:23.000
7,"19A66785-1BFE-4312-BF00-1D8CCC0926E4",WA,2001-04-24 14:41:23.000
49,"1F0A8330-E803-487E-A03D-1DDCE63F3F33",NC,2001-04-24 14:41:23.000
67,"64EDA551-A296-4B7A-A2C1-208E03B7BDB8",ZZ,2003-03-19 11:05:12.000
11,"49B72B28-2F96-4F96-A4F2-216B2DD83040",ME,2001-04-24 14:41:23.000
71,"12B6249D-1BC9-4367-8513-2359FDDEAFD2",AB,2008-10-29 00:04:29.327
84,DFE44881-0935-4552-AEF9-2534BD2DB33D,PE,2008-10-29 00:04:29.327
86,E82B261A-709A-496E-B40D-2A1C0027BD6F,SK,2008-10-29 00:04:29.327
42,E9888E25-7165-4D8C-BA83-2B3CC0BAB05E,DC,2001-04-24 14:41:23.000
20,E0579D46-16E4-47FB-8497-2BD1DBD154CA,NH,2001-04-24 14:41:23.000
36,FEE0B9A3-4B4D-45AE-A5D9-2CD9AA7F5B6D,KS,2001-04-24 14:41:23.000
68,"25164004-66B4-45A5-B20B-2F9CF6E6BC64",OT,2005-06-11 13:39:31.170
10,"375FC8D0-BCDB-433E-8B09-3016CA83B667",VT,2001-04-24 14:41:23.000
41,B4D798CE-C598-4FCC-8F67-34182352841C,MD,2001-04-24 14:41:23.000
78,"70C03B8E-18E6-4F1B-922B-34ECFFF770AB",N/A,2008-10-29 00:04:29.327
57,"0D0BD574-3B82-46DE-AB0A-35FBFBEBD08B",FL,2001-04-24 14:41:23.000
45,C0F6A390-93A6-40D5-B48B-3826E6EA4F7A,OK,2001-04-24 14:41:23.000
32,"0E2A10EA-E006-4A57-B9D4-3AD69F112858",NJ,2001-04-24 14:41:23.000
53,"3A6BC65A-55E3-486C-A1A9-3DDBFF001BE9",MS,2001-04-24 14:41:23.000
28,"3DC46B0F-F7CC-456C-A664-4184C0901DDE",IN,2001-04-24 14:41:23.000
15,"6B9D32A3-68FB-417C-9729-422116A2F6E8",SD,2001-04-24 14:41:23.000
69,"57A4B939-4637-4287-93CE-42EF0FF0D898",PR,2005-06-11 13:39:31.170
40,"7D707EDE-BC06-4EBD-BC3E-48251192F9DC",VA,2001-04-24 14:41:23.000
73,"5C1B2EDD-F3EC-414D-B2FE-4FB70F7DA60B",CZ,2008-10-29 00:04:29.327
26,"94A8D7A3-9616-423C-9C20-56BF00FB1549",IA,2001-04-24 14:41:23.000
39,"1FABEC84-D731-41A5-8A28-6384B7929BD3",WV,2001-04-24 14:41:23.000
31,A749E050-7D0E-4253-AAEB-646985024BAE,CT,2001-04-24 14:41:23.000
14,EFAF209D-9AB8-4599-AB11-666DD385A8CD,WY,2001-04-24 14:41:23.000
80,B8CDEB3A-976A-4D41-8F4B-66DA85860CC2,NL,2008-10-29 00:04:29.327
23,"5CC03B68-802B-4C50-B7FE-68810FEB8D61",NV,2001-04-24 14:41:23.000
50,"9CF4BDEB-3F02-4485-AE74-6AAFF6C1338B",AK,2001-04-24 14:41:23.000
55,"47FECA8D-FA61-4713-98CC-6C48040B678D",AL,2001-04-24 14:41:23.000
48,"97AFDDEE-ACAC-4D15-A8B8-6F6228915831",SC,2001-04-24 14:41:23.000
12,"757D4A9A-1AD5-49D5-9CE2-71862A52A3CB",OR,2001-04-24 14:41:23.000
35,"949F4228-8DAD-4939-8F35-74C29714DF2A",CO,2001-04-24 14:41:23.000
44,E5A7BDC3-5691-4C48-B4DC-7BD9E575AD34,NM,2001-04-24 14:41:23.000
